publication,domain,category,region,tier,priority
Investing.com,investing.com,Crypto Trade / Market,Global,Trade Outlet Tier 1 (5M-10M+),1
TradingView,tradingview.com,Crypto Trade / Market,Global,Trade Outlet Tier 1 (5M-10M+),1
Investopedia,investopedia.com,Crypto Trade / Market,Global,Trade Outlet Tier 1 (5M-10M+),1
Seeking Alpha,seekingalpha.com,Crypto Trade / Market,Global,Trade Outlet Tier 2 (1M-5M),1
CoinDesk,coindesk.com,Crypto Trade / Market,Global,Trade Outlet Tier 2 (1M-5M),1
Benzinga,,Crypto Trade / Market,Global,Trade Outlet Tier 2 (1M-5M),3
Stockwits,,Crypto Trade / Market,Global,Trade Outlet Tier 2 (1M-5M),3
The Block,theblock.co,Crypto Trade / Market,Global,Trade Outlet Tier 2 (1M-5M),1
FXStreet,,Crypto Trade / Market,Global,Trade Outlet Tier 3 (500k - 1M),3
Bitcoin.com,news.bitcoin.com,Crypto Trade / Market,Global,Trade Outlet Tier 3 (500k - 1M),1
BeInCrypto,beincrypto.com,Crypto Trade / Market,Global,Trade Outlet Tier 3 (500k - 1M),1
TokenPost,,Crypto Trade / Market,Global,Trade Outlet Tier 3 (500k - 1M),3
Decrypt,decrypt.co,Crypto Trade / Market,Global,Trade Outlet Tier 3 (500k - 1M),1
Cryptonews.com,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
CryptoSlate,cryptoslate.com,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),1
Bitcoin News,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
CryptoRank,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
CoinPedia,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
Invezz,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
CoinStats,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
Bitcoin Magazine,bitcoinmagazine.com,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),1
CCN,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
CryptoPotato,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
Finance Magnates,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
Cryptoast,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
Crypto.News,,Crypto Trade / Market,Crypto (America/Global - these reporters do not need to be based in the region to cover the news),Trade Outlet Tier 4 (100k-500k),3
Crypto.news,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
Yellow,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
DL News,dlnews.com,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),1
99Bitcoins,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
99bitcoins,,Crypto Trade / Market,EU,Trade Outlet Tier 4 (100k-500k),3
Blockchain Reporter,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
AMBCrypto,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
Cryptopolitan,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
Bitcoinist,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
FinanceFeeds,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
CoinSpeaker,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
Coinspeaker,,Crypto Trade / Market,Crypto (America/Global - these reporters do not need to be based in the region to cover the news),Trade Outlet Tier 4 (100k-500k),3
The Banker,,Crypto Trade / Market,Global,Trade Outlet Tier 1 (5M-10M+),3
CoinCentral,,Crypto Trade / Market,Global,Trade Outlet Tier 4 (100k-500k),3
The Defiant,thedefiant.io,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),1
CryptoPanic,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
CryptoBriefing,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
Daily Coin,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
Coin Edition,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
Brave New Coin,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
Crowdfund Insider,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
Blockworks,blockworks.co,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),1
Bankless Times,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
SandMark,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
Sandmark,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
The Crypto Times,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
Blockster,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
The Cryptonomist,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
Money Check,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
Fintech Review,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
CoinTrust,,Crypto Trade / Market,Global,Trade Outlet Tier 5 (Under 100k),3
Cointrust,,Crypto Trade / Market,Crypto (America/Global - these reporters do not need to be based in the region to cover the news),Trade Outlet Tier 5 (Under 100k),3
